# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1784862026390,ENGINE,Engine Start
1784862026390,FUEL,Fuel system UNKNOWN → OPEN LOOP
1784862026390,ZONE,maf CRITICAL → WARN (LOW)
1784862029615,ZONE,map GOOD → WARN (CHECK)
1784862031094,ZONE,battery GOOD → WARN (LOW CHARGE)
1784862034433,ZONE,battery WARN → ELEVATED (WEAK CHARGE)
1784862034433,CHARGE,Charging problem began (WEAK CHARGE)
1784862035902,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1784862037748,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1784862044139,ZONE,map WARN → GOOD (IDLE OK)
1784862047067,ZONE,maf WARN → CRITICAL (VERY LOW)
1784862083371,ENGINE,Engine Stop
1784862083371,CHARGE,Charging problem ended
1784862083505,ZONE,battery CRITICAL → WARN (WEAK REST)
1784862090370,ELM,ELM Disconnected

# dashboard_snapshots
time_ms,rpm,speed_kmh,coolant1_c,coolant2_c,intake_c,ambient_c,load_pct,throttle_pct,timing,maf_gps,map_kpa,stft_pct,ltft_pct,ecu_v,gear,fuel_loop
1784862026389,1348.0,0.0,49.0,,44.0,,0.0,14.901960784313726,2.5,5.64,45.0,0.0,,14.25,,OPEN LOOP
1784862028052,1348.0,0.0,49.0,,44.0,,56.86274509803921,14.901960784313726,0.0,5.59,44.0,0.0,,14.25,,OPEN LOOP
1784862029613,973.0,0.0,49.0,,43.0,,50.98039215686274,16.07843137254902,0.0,5.59,44.0,0.0,,14.1,,OPEN LOOP
1784862031091,973.0,0.0,49.0,,43.0,,50.98039215686274,16.07843137254902,0.0,5.64,43.0,0.0,,13.725,,OPEN LOOP
1784862032737,953.0,0.0,49.0,,43.0,,50.588235294117645,15.686274509803921,0.0,5.24,42.0,0.0,,13.225,,OPEN LOOP
1784862034432,940.0,0.0,49.0,,42.0,,50.19607843137255,15.686274509803921,0.0,5.54,41.0,0.0,,12.8,,OPEN LOOP
1784862035897,960.0,0.0,49.0,,42.0,,51.372549019607845,15.686274509803921,0.0,5.54,41.0,-0.78125,,12.525,,OPEN LOOP
1784862037747,926.0,0.0,49.0,,42.0,,50.19607843137255,15.686274509803921,-4.0,5.54,42.0,-0.78125,,12.375,,CLOSED LOOP
1784862039939,945.0,0.0,49.0,,42.0,,50.588235294117645,15.686274509803921,-3.5,5.2,42.0,-0.78125,,12.3,,CLOSED LOOP
1784862042159,940.0,0.0,50.0,,41.0,,51.372549019607845,15.686274509803921,-4.5,5.16,43.0,-0.78125,,12.375,,CLOSED LOOP
1784862044138,936.0,0.0,50.0,,41.0,,50.19607843137255,15.294117647058824,-4.0,4.71,40.0,-0.78125,,12.4,,CLOSED LOOP
1784862045546,913.0,0.0,50.0,,41.0,,44.705882352941174,14.901960784313726,-3.0,4.71,37.0,-0.78125,,12.375,,CLOSED LOOP
1784862047065,913.0,0.0,50.0,,41.0,,44.705882352941174,14.509803921568627,-3.0,3.53,33.0,-0.78125,,12.325,,CLOSED LOOP
1784862048402,913.0,0.0,50.0,,41.0,,31.764705882352942,14.509803921568627,-3.0,3.08,33.0,-0.78125,,12.4,,CLOSED LOOP
1784862049936,906.0,0.0,51.0,,41.0,,31.764705882352942,14.117647058823529,13.0,3.11,28.0,-0.78125,,12.375,,CLOSED LOOP
1784862051373,906.0,0.0,51.0,,41.0,,31.764705882352942,14.117647058823529,17.5,3.14,29.0,-0.78125,,12.4,,CLOSED LOOP
1784862053053,899.0,0.0,51.0,,41.0,,29.80392156862745,14.117647058823529,16.5,3.11,28.0,-2.34375,,12.4,,CLOSED LOOP
1784862055280,892.0,0.0,52.0,,41.0,,29.41176470588235,14.117647058823529,15.0,2.96,29.0,-2.34375,,12.4,,CLOSED LOOP
1784862057523,883.0,0.0,52.0,,41.0,,29.019607843137255,14.117647058823529,15.0,3.05,28.0,-2.34375,,12.4,,CLOSED LOOP
1784862059443,891.0,0.0,53.0,,41.0,,30.19607843137255,14.117647058823529,13.0,3.2,28.0,-2.34375,,12.4,,CLOSED LOOP
1784862061007,886.0,0.0,53.0,,41.0,,30.58823529411765,14.117647058823529,15.0,3.02,28.0,-3.125,,12.4,,CLOSED LOOP
1784862062255,886.0,0.0,53.0,,41.0,,29.019607843137255,14.117647058823529,15.0,3.02,28.0,-3.125,,12.4,,CLOSED LOOP
1784862063818,895.0,0.0,54.0,,41.0,,29.41176470588235,14.117647058823529,16.5,3.11,28.0,-3.125,,12.4,,CLOSED LOOP
1784862066863,895.0,0.0,54.0,,41.0,,29.41176470588235,14.117647058823529,16.5,3.11,28.0,-3.125,,12.4,,CLOSED LOOP
1784862083371,,,,,,,,,,,,,,,,
1784862083504,,,,,,,,,,,,,,12.375,,
1784862083571,,,,,,,,,,,,,,12.375,,
1784862083741,,,,,,,,,,,,,,12.375,,
1784862083899,,,,,,,,,,,,,,12.4,,
1784862084042,,,,,,,,,,,,,,12.375,,
1784862084122,,,,,,,,,,,,,,12.375,,
1784862084310,,,,,,,,,,,,,,12.425,,
1784862084449,,,,,,,,,,,,,,12.375,,
1784862084643,,,,,,,,,,,,,,12.375,,
1784862084775,,,,,,,,,,,,,,12.425,,
1784862084932,,,,,,,,,,,,,,12.4,,
1784862085016,,,,,,,,,,,,,,12.4,,
1784862085165,,,,,,,,,,,,,,12.375,,
1784862085327,,,,,,,,,,,,,,12.425,,
1784862085470,,,,,,,,,,,,,,12.4,,
1784862085641,,,,,,,,,,,,,,12.375,,
1784862085843,,,,,,,,,,,,,,12.375,,
1784862085949,,,,,,,,,,,,,,12.4,,
1784862086050,,,,,,,,,,,,,,12.4,,
1784862086115,,,,,,,,,,,,,,12.4,,
1784862086292,,,,,,,,,,,,,,12.425,,
1784862086453,,,,,,,,,,,,,,12.35,,
1784862086597,,,,,,,,,,,,,,12.375,,
1784862086781,,,,,,,,,,,,,,12.35,,
1784862086835,,,,,,,,,,,,,,12.35,,
1784862087015,,,,,,,,,,,,,,12.375,,
1784862087063,,,,,,,,,,,,,,12.375,,
1784862087240,,,,,,,,,,,,,,12.375,,
1784862087369,,,,,,,,,,,,,,12.4,,
1784862090366,,,,,,,,,,,,,,12.4,,

# dash_tiles
time_ms,tab,key,value
1784862026097,Dash,RPM,0.0
1784862026097,Dash,Speed,0.0
1784862026097,Dash,Gear,n/s
1784862026097,Dash,GearSource,NONE
1784862026097,Dash,Coolant1,49.0
1784862026097,Dash,Coolant2,n/s
1784862026097,Dash,Battery,13.975
1784862026097,Dash,Intake,45.0
1784862026097,Dash,Ambient,n/s
1784862026097,Dash,Load,0.0
1784862026097,Dash,Throttle,14.901960784313726
1784862026097,Dash,STFT,0.0
1784862026097,Dash,LTFT,n/s
1784862026097,Dash,MAF,3.71
1784862026097,Dash,MAP,39.0
1784862026097,Dash,Timing,3.5
1784862026097,Dash,FuelLoop,UNKNOWN
1784862026097,Dash,DTCs,0
1784862026097,Dash,HealthPct,97
1784862028054,Dash,RPM,1348.0
1784862028054,Dash,Speed,0.0
1784862028054,Dash,Gear,n/s
1784862028054,Dash,GearSource,NONE
1784862028054,Dash,Coolant1,49.0
1784862028054,Dash,Coolant2,n/s
1784862028054,Dash,Battery,14.25
1784862028054,Dash,Intake,44.0
1784862028054,Dash,Ambient,n/s
1784862028054,Dash,Load,56.86274509803921
1784862028054,Dash,Throttle,14.901960784313726
1784862028054,Dash,STFT,0.0
1784862028054,Dash,LTFT,n/s
1784862028054,Dash,MAF,5.59
1784862028054,Dash,MAP,44.0
1784862028054,Dash,Timing,0.0
1784862028054,Dash,FuelLoop,OPEN LOOP
1784862028054,Dash,DTCs,0
1784862028054,Dash,HealthPct,97
1784862029616,Dash,RPM,973.0
1784862029616,Dash,Speed,0.0
1784862029616,Dash,Gear,n/s
1784862029616,Dash,GearSource,NONE
1784862029616,Dash,Coolant1,49.0
1784862029616,Dash,Coolant2,n/s
1784862029616,Dash,Battery,14.1
1784862029616,Dash,Intake,43.0
1784862029616,Dash,Ambient,n/s
1784862029616,Dash,Load,50.98039215686274
1784862029616,Dash,Throttle,16.07843137254902
1784862029616,Dash,STFT,0.0
1784862029616,Dash,LTFT,n/s
1784862029616,Dash,MAF,5.59
1784862029616,Dash,MAP,44.0
1784862029616,Dash,Timing,0.0
1784862029616,Dash,FuelLoop,OPEN LOOP
1784862029616,Dash,DTCs,0
1784862029616,Dash,HealthPct,97
1784862031095,Dash,RPM,973.0
1784862031095,Dash,Speed,0.0
1784862031095,Dash,Gear,n/s
1784862031095,Dash,GearSource,NONE
1784862031095,Dash,Coolant1,49.0
1784862031095,Dash,Coolant2,n/s
1784862031095,Dash,Battery,13.725
1784862031095,Dash,Intake,43.0
1784862031095,Dash,Ambient,n/s
1784862031095,Dash,Load,50.98039215686274
1784862031095,Dash,Throttle,16.07843137254902
1784862031095,Dash,STFT,0.0
1784862031095,Dash,LTFT,n/s
1784862031095,Dash,MAF,5.64
1784862031095,Dash,MAP,43.0
1784862031095,Dash,Timing,0.0
1784862031095,Dash,FuelLoop,OPEN LOOP
1784862031095,Dash,DTCs,0
1784862031095,Dash,HealthPct,91
1784862032740,Dash,RPM,953.0
1784862032740,Dash,Speed,0.0
1784862032740,Dash,Gear,n/s
1784862032740,Dash,GearSource,NONE
1784862032740,Dash,Coolant1,49.0
1784862032740,Dash,Coolant2,n/s
1784862032740,Dash,Battery,13.225
1784862032740,Dash,Intake,43.0
1784862032740,Dash,Ambient,n/s
1784862032740,Dash,Load,50.588235294117645
1784862032740,Dash,Throttle,15.686274509803921
1784862032740,Dash,STFT,0.0
1784862032740,Dash,LTFT,n/s
1784862032740,Dash,MAF,5.24
1784862032740,Dash,MAP,42.0
1784862032740,Dash,Timing,0.0
1784862032740,Dash,FuelLoop,OPEN LOOP
1784862032740,Dash,DTCs,0
1784862032740,Dash,HealthPct,91
1784862034434,Dash,RPM,940.0
1784862034434,Dash,Speed,0.0
1784862034434,Dash,Gear,n/s
1784862034434,Dash,GearSource,NONE
1784862034434,Dash,Coolant1,49.0
1784862034434,Dash,Coolant2,n/s
1784862034434,Dash,Battery,12.8
1784862034434,Dash,Intake,42.0
1784862034434,Dash,Ambient,n/s
1784862034434,Dash,Load,50.19607843137255
1784862034434,Dash,Throttle,15.686274509803921
1784862034434,Dash,STFT,0.0
1784862034434,Dash,LTFT,n/s
1784862034434,Dash,MAF,5.54
1784862034434,Dash,MAP,41.0
1784862034434,Dash,Timing,0.0
1784862034434,Dash,FuelLoop,OPEN LOOP
1784862034434,Dash,DTCs,0
1784862034434,Dash,HealthPct,87
1784862035903,Dash,RPM,960.0
1784862035903,Dash,Speed,0.0
1784862035903,Dash,Gear,n/s
1784862035903,Dash,GearSource,NONE
1784862035903,Dash,Coolant1,49.0
1784862035903,Dash,Coolant2,n/s
1784862035903,Dash,Battery,12.525
1784862035903,Dash,Intake,42.0
1784862035903,Dash,Ambient,n/s
1784862035903,Dash,Load,51.372549019607845
1784862035903,Dash,Throttle,15.686274509803921
1784862035903,Dash,STFT,-0.78125
1784862035903,Dash,LTFT,n/s
1784862035903,Dash,MAF,5.54
1784862035903,Dash,MAP,41.0
1784862035903,Dash,Timing,0.0
1784862035903,Dash,FuelLoop,OPEN LOOP
1784862035903,Dash,DTCs,0
1784862035903,Dash,HealthPct,75
1784862037749,Dash,RPM,926.0
1784862037749,Dash,Speed,0.0
1784862037749,Dash,Gear,n/s
1784862037749,Dash,GearSource,NONE
1784862037749,Dash,Coolant1,49.0
1784862037749,Dash,Coolant2,n/s
1784862037749,Dash,Battery,12.375
1784862037749,Dash,Intake,42.0
1784862037749,Dash,Ambient,n/s
1784862037749,Dash,Load,50.19607843137255
1784862037749,Dash,Throttle,15.686274509803921
1784862037749,Dash,STFT,-0.78125
1784862037749,Dash,LTFT,n/s
1784862037749,Dash,MAF,5.54
1784862037749,Dash,MAP,42.0
1784862037749,Dash,Timing,-4.0
1784862037749,Dash,FuelLoop,CLOSED LOOP
1784862037749,Dash,DTCs,0
1784862037749,Dash,HealthPct,68
1784862039942,Dash,RPM,945.0
1784862039942,Dash,Speed,0.0
1784862039942,Dash,Gear,n/s
1784862039942,Dash,GearSource,NONE
1784862039942,Dash,Coolant1,49.0
1784862039942,Dash,Coolant2,n/s
1784862039942,Dash,Battery,12.3
1784862039942,Dash,Intake,42.0
1784862039942,Dash,Ambient,n/s
1784862039942,Dash,Load,50.588235294117645
1784862039942,Dash,Throttle,15.686274509803921
1784862039942,Dash,STFT,-0.78125
1784862039942,Dash,LTFT,n/s
