# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1784900310493,ELM,ELM Connected (ELM327 (Bluetooth))
1784900321633,ZONE,maf WARN → CRITICAL (VERY LOW)
1784900331038,ZONE,stft WARN → GOOD (NORMAL)
1784900334098,ZONE,stft GOOD → ELEVATED (LEAN)
1784900339272,ZONE,stft ELEVATED → GOOD (NORMAL)
1784900471344,ZONE,maf CRITICAL → WARN (LOW IDLE)
1784900479969,ZONE,maf WARN → CRITICAL (VERY LOW)
1784900487774,TRIP,Trip Start
1784900487774,ZONE,maf CRITICAL → WARN (LOW)
1784900491081,GEAR,Estimated gear 1 → 2
1784900496823,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1784900498856,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1784900498857,ZONE,maf WARN → CRITICAL (VERY LOW)
1784900500867,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784900502715,ZONE,stft WARN → GOOD (NORMAL)
1784900502715,ZONE,maf CRITICAL → WARN (LOW)
1784900505392,ZONE,maf WARN → CRITICAL (VERY LOW)
1784900507124,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784900508522,ZONE,maf CRITICAL → WARN (LOW)
1784900509780,ZONE,stft WARN → GOOD (NORMAL)
1784900513672,GEAR,Estimated gear 2 → 1
1784900517597,ZONE,map GOOD → WARN (RISING)
1784900519171,GEAR,Estimated gear 1 → 2
1784900519171,ZONE,map WARN → GOOD (CRUISE OK)
1784900520432,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784900521839,ZONE,stft WARN → GOOD (NORMAL)
1784900540558,GEAR,Estimated gear 2 → 3
1784900540558,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784900541984,GEAR,Estimated gear 3 → 2
1784900541984,ZONE,stft WARN → GOOD (NORMAL)
1784900543629,GEAR,Estimated gear 2 → 3
1784900544957,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784900546453,ZONE,coolant COLD → GOOD (NORMAL)
1784900548027,ZONE,stft WARN → GOOD (NORMAL)
1784900552039,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784900552039,ZONE,maf WARN → CRITICAL (VERY LOW)
1784900554099,ZONE,maf CRITICAL → WARN (LOW)
1784900555874,ZONE,stft WARN → GOOD (NORMAL)
1784900559999,ZONE,maf WARN → CRITICAL (VERY LOW)
1784900561298,ZONE,maf CRITICAL → WARN (LOW)
1784900564600,GEAR,Estimated gear 3 → 2
1784900564600,ZONE,maf WARN → CRITICAL (VERY LOW)
1784900566694,GEAR,Estimated gear 2 → 1
1784900566694,ZONE,maf CRITICAL → WARN (LOW)
1784900569216,ZONE,maf WARN → CRITICAL (VERY LOW)

# dashboard_snapshots
time_ms,rpm,speed_kmh,coolant1_c,coolant2_c,intake_c,ambient_c,load_pct,throttle_pct,timing,maf_gps,map_kpa,stft_pct,ltft_pct,ecu_v,gear,fuel_loop
1784900310491,1082.0,0.0,43.0,,35.0,,38.8235294117647,14.901960784313726,,4.12,32.0,-5.46875,,,,
1784900311914,1060.0,0.0,43.0,,35.0,,36.07843137254902,14.901960784313726,12.0,4.28,32.0,-5.46875,,,,
1784900313428,1064.0,0.0,43.0,,35.0,,38.8235294117647,14.901960784313726,17.5,4.28,32.0,-5.46875,,,,
1784900314755,1041.0,0.0,43.0,,35.0,,38.8235294117647,14.901960784313726,14.5,4.28,32.0,-5.46875,,,,
1784900316009,1041.0,0.0,43.0,,35.0,,37.254901960784316,14.901960784313726,12.5,4.28,32.0,-5.46875,,,,
1784900317385,1053.0,0.0,44.0,,35.0,,37.254901960784316,14.901960784313726,12.5,4.08,32.0,-5.46875,,,,CLOSED LOOP
1784900321629,1043.0,0.0,44.0,,35.0,,37.254901960784316,14.901960784313726,12.5,3.97,32.0,-5.46875,,,,CLOSED LOOP
1784900323103,1015.0,0.0,44.0,,35.0,,36.470588235294116,14.901960784313726,15.0,3.97,32.0,-5.46875,,,,CLOSED LOOP
1784900324360,1013.0,0.0,44.0,,35.0,,36.470588235294116,14.901960784313726,13.0,3.93,33.0,-5.46875,,,,CLOSED LOOP
1784900325749,1013.0,0.0,46.0,,35.0,,36.86274509803921,14.901960784313726,13.5,3.93,33.0,-5.46875,,,,CLOSED LOOP
1784900327063,1005.0,0.0,46.0,,35.0,,36.86274509803921,14.901960784313726,15.5,3.82,32.0,-5.46875,,,,CLOSED LOOP
1784900328499,1006.0,0.0,46.0,,35.0,,35.294117647058826,14.901960784313726,15.5,3.82,33.0,-5.46875,,,,CLOSED LOOP
1784900329805,1003.0,0.0,46.0,,35.0,,34.90196078431372,14.901960784313726,13.0,3.82,32.0,-5.46875,,,,CLOSED LOOP
1784900331037,1003.0,0.0,46.0,,35.0,,34.90196078431372,14.901960784313726,17.0,3.82,31.0,-4.6875,,,,CLOSED LOOP
1784900332439,1003.0,0.0,46.0,,35.0,,34.90196078431372,14.901960784313726,20.5,3.78,37.0,-3.90625,,,,CLOSED LOOP
1784900334097,899.0,0.0,46.0,,35.0,,38.03921568627451,14.901960784313726,18.5,3.82,36.0,10.15625,,,,CLOSED LOOP
1784900335438,899.0,0.0,47.0,,35.0,,34.11764705882353,14.901960784313726,9.0,3.82,36.0,10.9375,,,,CLOSED LOOP
1784900339270,899.0,0.0,47.0,,35.0,,34.90196078431372,14.901960784313726,14.0,3.86,35.0,3.125,,,,CLOSED LOOP
1784900348137,942.0,0.0,48.0,,35.0,,33.72549019607843,14.509803921568627,12.0,3.6,33.0,-3.90625,,,,CLOSED LOOP
1784900359306,957.0,0.0,49.0,,35.0,,34.509803921568626,14.509803921568627,14.0,3.32,32.0,-3.90625,,,,CLOSED LOOP
1784900371040,911.0,0.0,51.0,,35.0,,32.94117647058823,14.509803921568627,15.5,3.42,31.0,-3.90625,,,,CLOSED LOOP
