# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1784938977460,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1784938977460,ZONE,map GOOD → WARN (RISING)
1784938979081,GEAR,Estimated gear 3 → 2
1784938980389,GEAR,Estimated gear 2 → 3
1784938983566,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784938983566,ZONE,map WARN → GOOD (NORMAL)
1784938985084,GEAR,Estimated gear 3 → 4
1784938985084,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1784938985084,ZONE,stft WARN → GOOD (NORMAL)
1784938988094,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1784938988094,ZONE,battery GOOD → WARN (LOW CHARGE)
1784938989531,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1784938989532,ZONE,battery WARN → GOOD (CHARGING OK)
1784938992638,GEAR,Estimated gear 4 → 3
1784938992638,ZONE,map GOOD → WARN (RISING)
1784938994196,ZONE,stft GOOD → WARN (SLIGHT RICH)
1784938994196,ZONE,map WARN → GOOD (CRUISE OK)
1784938995581,ZONE,stft WARN → GOOD (NORMAL)
1784938997125,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1784939003769,ZONE,battery GOOD → WARN (LOW CHARGE)
1784939005270,FUEL,Fuel system OPEN (DRIVE) → CLOSED LOOP
1784939005270,ZONE,battery WARN → GOOD (CHARGING OK)
1784939008660,GEAR,Estimated gear 3 → 2
1784939008660,ZONE,map GOOD → WARN (RISING)
1784939010280,GEAR,Estimated gear 2 → 3
1784939012051,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1784939012052,ZONE,map WARN → GOOD (NORMAL)

# dashboard_snapshots
time_ms,rpm,speed_kmh,coolant1_c,coolant2_c,intake_c,ambient_c,load_pct,throttle_pct,timing,maf_gps,map_kpa,stft_pct,ltft_pct,ecu_v,gear,fuel_loop
1784938977459,1185.0,26.0,88.0,,43.0,,39.21568627450981,16.862745098039216,20.5,9.35,62.0,3.90625,,14.175,3,CLOSED LOOP
1784938979080,1591.0,29.0,88.0,,43.0,,100.0,24.705882352941178,14.5,16.03,90.0,-1.5625,,14.175,2,CLOSED LOOP
1784938980388,1485.0,33.0,88.0,,42.0,,100.0,25.49019607843137,15.5,17.62,88.0,-1.5625,,14.225,3,CLOSED LOOP
1784938982120,1599.0,38.0,88.0,,42.0,,99.6078431372549,23.529411764705884,22.0,16.23,78.0,-2.34375,,14.2,3,CLOSED LOOP
1784938983565,1649.0,41.0,88.0,,41.0,,78.43137254901961,14.117647058823529,3.5,3.46,26.0,-8.59375,,14.2,3,CLOSED LOOP
1784938985082,1120.0,40.0,88.0,,41.0,,29.80392156862745,14.117647058823529,-13.0,3.35,26.0,0.0,,14.075,4,OPEN (DRIVE)
1784938986364,1065.0,39.0,88.0,,42.0,,29.41176470588235,14.117647058823529,-13.0,3.29,27.0,0.0,,14.15,4,OPEN (DRIVE)
1784938988093,1018.0,36.0,88.0,,42.0,,29.41176470588235,14.117647058823529,1.0,3.35,30.0,0.0,,13.775,4,OPEN LOOP
1784938989531,930.0,35.0,88.0,,42.0,,31.764705882352942,14.117647058823529,1.0,3.32,29.0,-0.78125,,14.1,4,CLOSED LOOP
1784938991048,929.0,34.0,88.0,,42.0,,33.333333333333336,14.117647058823529,1.0,3.32,30.0,-3.125,,14.075,4,CLOSED LOOP
1784938992637,1441.0,33.0,88.0,,42.0,,56.86274509803921,18.823529411764707,21.5,16.03,71.0,-3.125,,14.125,3,CLOSED LOOP
1784938994195,1578.0,35.0,88.0,,42.0,,88.23529411764706,18.03921568627451,24.5,9.91,56.0,-5.46875,,14.1,3,CLOSED LOOP
1784938995581,1497.0,37.0,88.0,,42.0,,43.92156862745098,15.686274509803921,27.5,4.96,30.0,-3.125,,14.025,3,CLOSED LOOP
1784938997124,1475.0,37.0,88.0,,42.0,,35.294117647058826,14.117647058823529,-8.0,3.14,26.0,0.0,,14.175,3,OPEN (DRIVE)
1784938998544,1403.0,35.0,88.0,,42.0,,24.313725490196077,14.117647058823529,-13.0,3.26,22.0,0.0,,14.15,3,OPEN (DRIVE)
1784939000773,1321.0,33.0,88.0,,42.0,,24.313725490196077,14.117647058823529,-13.0,3.2,23.0,0.0,,14.175,3,OPEN (DRIVE)
1784939002272,1201.0,30.0,88.0,,42.0,,26.666666666666668,14.117647058823529,-13.0,3.2,25.0,0.0,,14.15,3,OPEN (DRIVE)
1784939003768,1111.0,28.0,87.0,,42.0,,28.235294117647058,14.117647058823529,-13.0,3.23,26.0,0.0,,13.275,3,OPEN (DRIVE)
1784939005269,954.0,26.0,87.0,,42.0,,31.764705882352942,14.509803921568627,1.0,3.57,29.0,0.0,,14.125,3,CLOSED LOOP
1784939006999,1170.0,25.0,87.0,,42.0,,44.31372549019608,15.686274509803921,22.0,5.39,38.0,3.90625,,14.1,3,CLOSED LOOP
1784939008659,1248.0,26.0,87.0,,43.0,,87.05882352941177,19.215686274509803,24.0,11.37,71.0,0.78125,,14.2,2,CLOSED LOOP
1784939010280,1279.0,30.0,87.0,,43.0,,83.52941176470588,19.215686274509803,23.0,11.29,73.0,-2.34375,,14.225,3,CLOSED LOOP
1784939012050,1334.0,33.0,87.0,,42.0,,64.31372549019608,15.294117647058824,4.0,3.17,26.0,0.0,,14.175,3,OPEN (DRIVE)

# dash_tiles
time_ms,tab,key,value
1784938976213,Dash,RPM,1258.0
1784938976213,Dash,Speed,27.0
1784938976213,Dash,Gear,3
1784938976213,Dash,GearSource,ESTIMATED
1784938976213,Dash,Coolant1,88.0
1784938976213,Dash,Coolant2,n/s
1784938976213,Dash,Battery,14.125
1784938976213,Dash,Intake,43.0
1784938976213,Dash,Ambient,n/s
1784938976213,Dash,Load,30.980392156862745
1784938976213,Dash,Throttle,14.117647058823529
1784938976213,Dash,STFT,0.0
1784938976213,Dash,LTFT,n/s
1784938976213,Dash,MAF,3.39
1784938976213,Dash,MAP,35.0
1784938976213,Dash,Timing,-10.0
1784938976213,Dash,FuelLoop,OPEN LOOP
1784938976213,Dash,DTCs,0
1784938976213,Dash,HealthPct,85
1784938977461,Dash,RPM,1185.0
1784938977461,Dash,Speed,26.0
1784938977461,Dash,Gear,3
1784938977461,Dash,GearSource,ESTIMATED
1784938977461,Dash,Coolant1,88.0
1784938977461,Dash,Coolant2,n/s
1784938977461,Dash,Battery,14.175
1784938977461,Dash,Intake,43.0
1784938977461,Dash,Ambient,n/s
1784938977461,Dash,Load,39.21568627450981
1784938977461,Dash,Throttle,16.862745098039216
1784938977461,Dash,STFT,3.90625
1784938977461,Dash,LTFT,n/s
1784938977461,Dash,MAF,9.35
1784938977461,Dash,MAP,62.0
1784938977461,Dash,Timing,20.5
1784938977461,Dash,FuelLoop,CLOSED LOOP
1784938977461,Dash,DTCs,0
1784938977461,Dash,HealthPct,100
1784938979082,Dash,RPM,1591.0
1784938979082,Dash,Speed,29.0
1784938979082,Dash,Gear,2
1784938979082,Dash,GearSource,ESTIMATED
1784938979082,Dash,Coolant1,88.0
1784938979082,Dash,Coolant2,n/s
1784938979082,Dash,Battery,14.175
1784938979082,Dash,Intake,43.0
1784938979082,Dash,Ambient,n/s
1784938979082,Dash,Load,100.0
1784938979082,Dash,Throttle,24.705882352941178
1784938979082,Dash,STFT,-1.5625
1784938979082,Dash,LTFT,n/s
1784938979082,Dash,MAF,16.03
1784938979082,Dash,MAP,90.0
1784938979082,Dash,Timing,14.5
1784938979082,Dash,FuelLoop,CLOSED LOOP
1784938979082,Dash,DTCs,0
1784938979082,Dash,HealthPct,100
1784938980390,Dash,RPM,1485.0
1784938980390,Dash,Speed,33.0
1784938980390,Dash,Gear,3
1784938980390,Dash,GearSource,ESTIMATED
1784938980390,Dash,Coolant1,88.0
1784938980390,Dash,Coolant2,n/s
1784938980390,Dash,Battery,14.225
1784938980390,Dash,Intake,42.0
1784938980390,Dash,Ambient,n/s
1784938980390,Dash,Load,100.0
1784938980390,Dash,Throttle,25.49019607843137
1784938980390,Dash,STFT,-1.5625
1784938980390,Dash,LTFT,n/s
1784938980390,Dash,MAF,17.62
1784938980390,Dash,MAP,88.0
1784938980390,Dash,Timing,15.5
1784938980390,Dash,FuelLoop,CLOSED LOOP
1784938980390,Dash,DTCs,0
1784938980390,Dash,HealthPct,100
1784938982122,Dash,RPM,1599.0
1784938982122,Dash,Speed,38.0
1784938982122,Dash,Gear,3
1784938982122,Dash,GearSource,ESTIMATED
1784938982122,Dash,Coolant1,88.0
1784938982122,Dash,Coolant2,n/s
1784938982122,Dash,Battery,14.2
1784938982122,Dash,Intake,42.0
1784938982122,Dash,Ambient,n/s
1784938982122,Dash,Load,99.6078431372549
1784938982122,Dash,Throttle,23.529411764705884
1784938982122,Dash,STFT,-2.34375
1784938982122,Dash,LTFT,n/s
1784938982122,Dash,MAF,16.23
1784938982122,Dash,MAP,78.0
1784938982122,Dash,Timing,22.0
1784938982122,Dash,FuelLoop,CLOSED LOOP
1784938982122,Dash,DTCs,0
1784938982122,Dash,HealthPct,100
1784938983567,Dash,RPM,1649.0
1784938983567,Dash,Speed,41.0
1784938983567,Dash,Gear,3
1784938983567,Dash,GearSource,ESTIMATED
1784938983567,Dash,Coolant1,88.0
1784938983567,Dash,Coolant2,n/s
1784938983567,Dash,Battery,14.2
1784938983567,Dash,Intake,41.0
1784938983567,Dash,Ambient,n/s
1784938983567,Dash,Load,78.43137254901961
1784938983567,Dash,Throttle,14.117647058823529
1784938983567,Dash,STFT,-8.59375
1784938983567,Dash,LTFT,n/s
1784938983567,Dash,MAF,3.46
1784938983567,Dash,MAP,26.0
1784938983567,Dash,Timing,3.5
1784938983567,Dash,FuelLoop,CLOSED LOOP
1784938983567,Dash,DTCs,0
1784938983567,Dash,HealthPct,96
1784938985085,Dash,RPM,1120.0
1784938985085,Dash,Speed,40.0
1784938985085,Dash,Gear,4
1784938985085,Dash,GearSource,ESTIMATED
1784938985085,Dash,Coolant1,88.0
1784938985085,Dash,Coolant2,n/s
1784938985085,Dash,Battery,14.075
1784938985085,Dash,Intake,41.0
1784938985085,Dash,Ambient,n/s
1784938985085,Dash,Load,29.80392156862745
1784938985085,Dash,Throttle,14.117647058823529
1784938985085,Dash,STFT,0.0
1784938985085,Dash,LTFT,n/s
1784938985085,Dash,MAF,3.35
1784938985085,Dash,MAP,26.0
1784938985085,Dash,Timing,-13.0
1784938985085,Dash,FuelLoop,OPEN (DRIVE)
1784938985085,Dash,DTCs,0
1784938985085,Dash,HealthPct,85
1784938986366,Dash,RPM,1065.0
1784938986366,Dash,Speed,39.0
1784938986366,Dash,Gear,4
1784938986366,Dash,GearSource,ESTIMATED
1784938986366,Dash,Coolant1,88.0
1784938986366,Dash,Coolant2,n/s
1784938986366,Dash,Battery,14.15
1784938986366,Dash,Intake,42.0
1784938986366,Dash,Ambient,n/s
