# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1786618639365,CHARGE,Charging problem began (ALT WEAK)
1786618639365,ELM,ELM Connected (ELM327 (Bluetooth))
1786618641159,TRIP,Trip Start
1786618823300,ZONE,battery CRITICAL → WARN (LOW CHARGE)
1786618823300,CHARGE,Charging problem ended
1786618834035,ZONE,battery WARN → CRITICAL (ALT WEAK)
1786618834035,CHARGE,Charging problem began (ALT WEAK)
1786618943135,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786618943135,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786618944592,ZONE,battery CRITICAL → ELEVATED (WEAK CHARGE)
1786618944758,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)

# dashboard_snapshots
time_ms,rpm,speed_kmh,coolant1_c,coolant2_c,intake_c,ambient_c,load_pct,throttle_pct,timing,maf_gps,map_kpa,stft_pct,ltft_pct,ecu_v,gear,fuel_loop
1786618639364,1797.0,,87.0,,,,81.17647058823529,23.529411764705884,22.5,14.48,,-3.125,,12.3,,CLOSED LOOP
1786618641159,1795.0,89.0,87.0,,42.0,,79.6078431372549,23.529411764705884,23.0,14.48,,-3.125,,12.475,5,CLOSED LOOP
1786618642503,1806.0,90.0,87.0,,42.0,,72.94117647058823,23.529411764705884,26.0,14.48,,-3.90625,,12.525,5,CLOSED LOOP
1786618643965,1804.0,90.0,87.0,,42.0,,72.15686274509804,23.529411764705884,25.5,12.78,,-3.125,,12.45,5,CLOSED LOOP
1786618645282,1808.0,90.0,87.0,,42.0,,71.76470588235294,23.529411764705884,25.5,12.95,,-3.125,,12.475,5,CLOSED LOOP
1786618646331,1813.0,90.0,87.0,,42.0,,72.54901960784314,23.529411764705884,25.5,13.28,,-3.125,,12.3,5,CLOSED LOOP
1786618647412,1812.0,90.0,87.0,,42.0,,68.62745098039215,23.529411764705884,25.5,13.11,,-3.125,,12.45,5,CLOSED LOOP
1786618648344,1822.0,90.0,87.0,,42.0,,68.62745098039215,23.529411764705884,25.5,13.11,,-3.125,,12.3,5,CLOSED LOOP
1786618649391,1822.0,90.0,87.0,,42.0,,69.41176470588235,23.529411764705884,25.5,13.2,,-3.125,,12.55,5,CLOSED LOOP
1786618650568,1827.0,91.0,87.0,,42.0,,69.41176470588235,23.529411764705884,26.0,13.2,,-3.125,,12.55,5,CLOSED LOOP
1786618651923,1829.0,91.0,87.0,,42.0,,69.80392156862744,23.529411764705884,24.0,13.2,,-3.125,,12.475,5,CLOSED LOOP
1786618652762,1829.0,91.0,87.0,,42.0,,76.47058823529412,23.529411764705884,24.0,13.2,,-3.125,,12.3,5,CLOSED LOOP
1786618653765,1828.0,91.0,87.0,,42.0,,75.68627450980392,23.529411764705884,24.0,13.2,,-3.125,,12.5,5,CLOSED LOOP
1786618654713,1829.0,91.0,87.0,,42.0,,75.68627450980392,23.529411764705884,24.5,13.2,,-3.125,,12.475,5,CLOSED LOOP
1786618655583,1827.0,91.0,87.0,,42.0,,75.68627450980392,23.529411764705884,25.0,13.2,,-3.125,,12.45,5,CLOSED LOOP
1786618656611,1824.0,91.0,87.0,,42.0,,75.68627450980392,23.529411764705884,25.0,13.2,,-3.125,,12.55,5,CLOSED LOOP
