# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1786661753602,ELM,ELM Connected (ELM327 (Bluetooth))
1786661756575,ZONE,battery CRITICAL → WARN (WEAK REST)
1786661757504,ZONE,battery WARN → CRITICAL (FLAT)
1786661758287,ZONE,battery CRITICAL → WARN (WEAK REST)
1786661759052,ZONE,battery WARN → CRITICAL (FLAT)

# dashboard_snapshots
time_ms,rpm,speed_kmh,coolant1_c,coolant2_c,intake_c,ambient_c,load_pct,throttle_pct,timing,maf_gps,map_kpa,stft_pct,ltft_pct,ecu_v,gear,fuel_loop
1786661753597,0.0,,39.0,,39.0,,0.0,17.254901960784313,,,,,,11.9,,
1786661754996,0.0,0.0,39.0,,39.0,,0.0,17.254901960784313,0.0,0.33,,0.0,,11.9,,UNKNOWN
1786661756571,0.0,0.0,39.0,,39.0,,0.0,17.254901960784313,0.0,,,0.0,,12.3,,UNKNOWN
1786661758285,0.0,0.0,39.0,,39.0,,0.0,17.254901960784313,0.0,0.3,,0.0,,12.3,,UNKNOWN
1786661759674,0.0,,39.0,,39.0,,0.0,17.254901960784313,0.0,0.33,,0.0,,11.9,,UNKNOWN

# dash_tiles
time_ms,tab,key,value
1786661750124,Dash,RPM,3647.0
1786661750124,Dash,Speed,93.0
1786661750124,Dash,Gear,3
1786661750124,Dash,GearSource,ESTIMATED
1786661750124,Dash,Coolant1,45.0
1786661750124,Dash,Coolant2,n/s
1786661750124,Dash,Battery,14.284147098480789
1786661750124,Dash,Intake,32.0
1786661750124,Dash,Ambient,n/s
1786661750124,Dash,Load,57.64725013689167
1786661750124,Dash,Throttle,41.016181917739395
1786661750124,Dash,STFT,1.9708994599769203
1786661750124,Dash,LTFT,n/s
1786661750124,Dash,MAF,15.529450027378335
1786661750124,Dash,MAP,87.64725013689167
1786661750124,Dash,Timing,12.0
1786661750124,Dash,FuelLoop,OPEN LOOP
1786661750124,Dash,DTCs,n/s
1786661750124,Dash,HealthPct,100
1786661753611,Dash,RPM,0.0
1786661753611,Dash,Speed,n/s
1786661753611,Dash,Gear,n/s
1786661753611,Dash,GearSource,NONE
1786661753611,Dash,Coolant1,39.0
1786661753611,Dash,Coolant2,n/s
1786661753611,Dash,Battery,11.9
1786661753611,Dash,Intake,39.0
1786661753611,Dash,Ambient,n/s
1786661753611,Dash,Load,0.0
1786661753611,Dash,Throttle,17.254901960784313
1786661753611,Dash,STFT,n/s
1786661753611,Dash,LTFT,n/s
1786661753611,Dash,MAF,n/s
1786661753611,Dash,MAP,n/s
1786661753611,Dash,Timing,n/s
1786661753611,Dash,FuelLoop,n/s
1786661753611,Dash,DTCs,0
1786661753611,Dash,HealthPct,78
1786661755004,Dash,RPM,0.0
1786661755004,Dash,Speed,0.0
1786661755004,Dash,Gear,n/s
1786661755004,Dash,GearSource,NONE
1786661755004,Dash,Coolant1,39.0
1786661755004,Dash,Coolant2,n/s
1786661755004,Dash,Battery,11.9
1786661755004,Dash,Intake,39.0
1786661755004,Dash,Ambient,n/s
1786661755004,Dash,Load,0.0
1786661755004,Dash,Throttle,17.254901960784313
1786661755004,Dash,STFT,0.0
1786661755004,Dash,LTFT,n/s
1786661755004,Dash,MAF,0.33
1786661755004,Dash,MAP,n/s
1786661755004,Dash,Timing,0.0
1786661755004,Dash,FuelLoop,UNKNOWN
1786661755004,Dash,DTCs,0
1786661755004,Dash,HealthPct,75
1786661756577,Dash,RPM,0.0
1786661756577,Dash,Speed,0.0
1786661756577,Dash,Gear,n/s
1786661756577,Dash,GearSource,NONE
1786661756577,Dash,Coolant1,39.0
1786661756577,Dash,Coolant2,n/s
1786661756577,Dash,Battery,12.3
1786661756577,Dash,Intake,39.0
1786661756577,Dash,Ambient,n/s
1786661756577,Dash,Load,0.0
1786661756577,Dash,Throttle,17.254901960784313
1786661756577,Dash,STFT,0.0
1786661756577,Dash,LTFT,n/s
1786661756577,Dash,MAF,n/s
1786661756577,Dash,MAP,n/s
1786661756577,Dash,Timing,0.0
1786661756577,Dash,FuelLoop,UNKNOWN
1786661756577,Dash,DTCs,0
1786661756577,Dash,HealthPct,87
1786661758288,Dash,RPM,0.0
1786661758288,Dash,Speed,0.0
1786661758288,Dash,Gear,n/s
1786661758288,Dash,GearSource,NONE
1786661758288,Dash,Coolant1,39.0
1786661758288,Dash,Coolant2,n/s
1786661758288,Dash,Battery,12.3
1786661758288,Dash,Intake,39.0
1786661758288,Dash,Ambient,n/s
1786661758288,Dash,Load,0.0
1786661758288,Dash,Throttle,17.254901960784313
1786661758288,Dash,STFT,0.0
1786661758288,Dash,LTFT,n/s
1786661758288,Dash,MAF,0.3
1786661758288,Dash,MAP,n/s
1786661758288,Dash,Timing,0.0
1786661758288,Dash,FuelLoop,UNKNOWN
1786661758288,Dash,DTCs,0
1786661758288,Dash,HealthPct,87
1786661759678,Dash,RPM,0.0
1786661759678,Dash,Speed,n/s
1786661759678,Dash,Gear,n/s
1786661759678,Dash,GearSource,NONE
1786661759678,Dash,Coolant1,39.0
1786661759678,Dash,Coolant2,n/s
1786661759678,Dash,Battery,11.9
1786661759678,Dash,Intake,39.0
1786661759678,Dash,Ambient,n/s
1786661759678,Dash,Load,0.0
1786661759678,Dash,Throttle,17.254901960784313
1786661759678,Dash,STFT,0.0
1786661759678,Dash,LTFT,n/s
1786661759678,Dash,MAF,0.33
1786661759678,Dash,MAP,n/s
1786661759678,Dash,Timing,0.0
1786661759678,Dash,FuelLoop,UNKNOWN
1786661759678,Dash,DTCs,0
1786661759678,Dash,HealthPct,75
1786661760580,Dash,RPM,0.0
1786661760580,Dash,Speed,n/s
1786661760580,Dash,Gear,n/s
1786661760580,Dash,GearSource,NONE
1786661760580,Dash,Coolant1,n/s
1786661760580,Dash,Coolant2,n/s
1786661760580,Dash,Battery,11.9
1786661760580,Dash,Intake,39.0
1786661760580,Dash,Ambient,n/s
1786661760580,Dash,Load,0.0
1786661760580,Dash,Throttle,17.254901960784313
1786661760580,Dash,STFT,0.0
1786661760580,Dash,LTFT,n/s
1786661760580,Dash,MAF,0.33
1786661760580,Dash,MAP,n/s
1786661760580,Dash,Timing,0.0
1786661760580,Dash,FuelLoop,UNKNOWN
1786661760580,Dash,DTCs,0
1786661760580,Dash,HealthPct,75
