# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1786662128879,ELM,ELM Connected (ELM327 (Bluetooth))
1786662130513,ZONE,coolant COLD → GOOD (NORMAL)
1786662159227,TRIP,Trip Start
1786662162799,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786662172756,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1786662172756,CHARGE,Charging problem began (ALT WEAK)
1786662174591,ZONE,stft WARN → GOOD (NORMAL)
1786662179415,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786662181340,ZONE,stft WARN → GOOD (NORMAL)
1786662182114,ZONE,battery CRITICAL → GOOD (CHARGING OK)
1786662182114,CHARGE,Charging problem ended
1786662182975,ZONE,battery GOOD → ELEVATED (WEAK CHARGE)
1786662182975,CHARGE,Charging problem began (WEAK CHARGE)
1786662183772,ZONE,battery ELEVATED → GOOD (CHARGING OK)
1786662183772,CHARGE,Charging problem ended
1786662184639,ZONE,battery GOOD → WARN (LOW CHARGE)
1786662186362,ZONE,battery WARN → GOOD (CHARGING OK)
1786662188884,GEAR,Estimated gear 1 → 2
1786662196718,GEAR,Estimated gear 2 → 1
1786662199584,GEAR,Estimated gear 1 → 2
1786662206680,GEAR,Estimated gear 2 → 3
1786662214420,GEAR,Estimated gear 3 → 4
1786662215900,GEAR,Estimated gear 4 → 3
1786662217733,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786662219537,GEAR,Estimated gear 3 → 2
1786662219538,ZONE,stft WARN → GOOD (NORMAL)
1786662229521,GEAR,Estimated gear 2 → 3
1786662238638,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786662240183,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786662241209,ZONE,stft WARN → GOOD (NORMAL)
1786662244636,FUEL,Fuel system OPEN (DRIVE) → CLOSED LOOP
1786662246924,GEAR,Estimated gear 3 → 2
1786662247908,GEAR,Estimated gear 2 → 3
1786662251495,GEAR,Estimated gear 3 → 4
1786662251495,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786662252280,GEAR,Estimated gear 4 → 3
1786662254927,ZONE,stft WARN → GOOD (NORMAL)
1786662255678,ZONE,maf GOOD → WARN (HIGH IDLE)
1786662256482,GEAR,Estimated gear 3 → 1
1786662256482,ZONE,maf WARN → GOOD (COAST OK)
1786662257212,GEAR,Estimated gear 1 → 2
1786662271687,GEAR,Estimated gear 2 → 3
1786662279495,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786662280289,ZONE,stft WARN → GOOD (NORMAL)
1786662285372,GEAR,Estimated gear 3 → 4
1786662285769,GEAR,Estimated gear 4 → 3
1786662286654,GEAR,Estimated gear 3 → 4
1786662288537,GEAR,Estimated gear 4 → 3
1786662288958,GEAR,Estimated gear 3 → 4
1786662290774,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786662292417,GEAR,Estimated gear 4 → 3
1786662293382,ZONE,stft WARN → GOOD (NORMAL)
1786662297594,GEAR,Estimated gear 3 → 2
1786662302837,GEAR,Estimated gear 2 → 1
1786662304187,GEAR,Estimated gear 1 → 2
1786662306114,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786662307000,GEAR,Estimated gear 2 → 3
1786662308726,ZONE,stft WARN → GOOD (NORMAL)
1786662310485,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1786662311824,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786662312695,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1786662314186,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786662316155,GEAR,Estimated gear 3 → 2
1786662316155,ZONE,stft GOOD → WARN (SLIGHT RICH)

# dashboard_snapshots
time_ms,rpm,speed_kmh,coolant1_c,coolant2_c,intake_c,ambient_c,load_pct,throttle_pct,timing,maf_gps,map_kpa,stft_pct,ltft_pct,ecu_v,gear,fuel_loop
1786662128877,713.0,0.0,69.0,,39.0,,,13.72549019607843,,,,,,12.0,,
1786662130511,712.0,,70.0,,39.0,,,13.72549019607843,14.5,2.24,29.0,,,12.35,,CLOSED LOOP
1786662132259,708.0,0.0,,,39.0,,24.313725490196077,13.72549019607843,14.0,2.17,28.0,-3.90625,,12.375,,CLOSED LOOP
1786662133778,708.0,0.0,,,39.0,,23.92156862745098,13.72549019607843,13.5,2.19,28.0,-3.90625,,11.9,,CLOSED LOOP
1786662135198,716.0,,70.0,,39.0,,23.92156862745098,13.72549019607843,13.0,2.19,,-3.90625,,11.9,,CLOSED LOOP
1786662136316,699.0,0.0,,,39.0,,23.92156862745098,13.72549019607843,13.0,,28.0,-3.90625,,12.0,,CLOSED LOOP
1786662137337,707.0,0.0,70.0,,39.0,,25.098039215686274,13.72549019607843,13.0,,28.0,-3.90625,,12.0,,CLOSED LOOP
1786662138816,701.0,0.0,70.0,,39.0,,25.098039215686274,13.72549019607843,14.5,2.3,29.0,-3.90625,,11.9,,CLOSED LOOP
1786662139990,715.0,0.0,70.0,,39.0,,25.098039215686274,13.72549019607843,14.5,,,-3.90625,,12.4,,CLOSED LOOP
1786662141168,702.0,0.0,70.0,,39.0,,24.313725490196077,13.72549019607843,13.0,2.19,,-3.90625,,12.0,,CLOSED LOOP
1786662142215,690.0,0.0,,,39.0,,24.313725490196077,13.72549019607843,13.0,2.19,29.0,-3.90625,,12.4,,CLOSED LOOP
1786662143894,711.0,0.0,70.0,,39.0,,25.88235294117647,13.72549019607843,13.0,2.3,29.0,-3.90625,,12.0,,CLOSED LOOP
1786662145581,712.0,0.0,70.0,,39.0,,25.098039215686274,13.72549019607843,15.5,,,-3.90625,,12.0,,CLOSED LOOP
1786662147340,723.0,0.0,,,39.0,,25.098039215686274,13.72549019607843,15.5,,29.0,-3.90625,,11.9,,CLOSED LOOP
1786662149065,719.0,0.0,71.0,,39.0,,25.098039215686274,13.72549019607843,12.0,2.17,,-3.90625,,11.9,,CLOSED LOOP
1786662150263,717.0,0.0,71.0,,39.0,,24.705882352941178,13.72549019607843,14.0,2.24,,-3.90625,,12.0,,CLOSED LOOP
1786662152058,708.0,0.0,71.0,,39.0,,25.49019607843137,13.72549019607843,14.0,,29.0,-3.90625,,11.9,,CLOSED LOOP
1786662153874,713.0,0.0,71.0,,39.0,,24.705882352941178,13.72549019607843,14.0,2.28,28.0,-3.90625,,11.9,,CLOSED LOOP
1786662155678,701.0,0.0,,,39.0,,31.372549019607842,13.72549019607843,13.0,2.28,30.0,-3.125,,11.9,,CLOSED LOOP
1786662157500,686.0,1.0,71.0,,39.0,,31.372549019607842,14.509803921568627,17.0,,34.0,-0.78125,,11.9,,CLOSED LOOP
1786662159226,705.0,3.0,71.0,,39.0,,31.372549019607842,14.509803921568627,16.5,2.75,35.0,-4.6875,,11.9,,CLOSED LOOP
1786662160819,725.0,4.0,71.0,,39.0,,31.372549019607842,14.509803921568627,16.5,2.93,34.0,-4.6875,,11.9,,CLOSED LOOP
1786662162797,725.0,5.0,,,39.0,,31.372549019607842,14.509803921568627,9.5,2.9,34.0,-5.46875,,11.9,1,CLOSED LOOP
1786662164487,729.0,6.0,71.0,,39.0,,31.372549019607842,14.509803921568627,8.0,,32.0,-5.46875,,11.9,1,CLOSED LOOP
1786662166176,760.0,6.0,,,39.0,,31.372549019607842,14.509803921568627,7.5,,32.0,-5.46875,,11.9,1,CLOSED LOOP
1786662168019,760.0,6.0,71.0,,39.0,,31.372549019607842,14.509803921568627,7.5,3.08,,-5.46875,,11.9,1,CLOSED LOOP
1786662169498,750.0,6.0,71.0,,39.0,,31.372549019607842,14.509803921568627,8.5,3.08,32.0,-6.25,,11.9,1,CLOSED LOOP
1786662171247,736.0,,71.0,,39.0,,31.372549019607842,16.07843137254902,8.5,,32.0,-6.25,,11.9,,CLOSED LOOP
