# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1786800663694,ELM,ELM Connected (ELM327 (Bluetooth))
1786800669641,TRIP,Trip Start
1786800670812,ZONE,battery ELEVATED → CRITICAL (ALT WEAK)
1786800670812,CHARGE,Charging problem began (ALT WEAK)
1786800678588,GEAR,Estimated gear 2 → 3
1786800683145,GEAR,Estimated gear 3 → 4
1786800685221,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1786800686495,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800687853,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1786800689097,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800690800,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800691927,GEAR,Estimated gear 4 → 5
1786800692946,GEAR,Estimated gear 5 → 4
1786800692946,FUEL,Fuel system OPEN (DRIVE) → CLOSED LOOP
1786800705383,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800708835,GEAR,Estimated gear 4 → 5
1786800709960,ZONE,stft WARN → GOOD (NORMAL)
1786800716423,GEAR,Estimated gear 5 → 4
1786800717134,GEAR,Estimated gear 4 → 3
1786800719472,GEAR,Estimated gear 3 → 4
1786800722487,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800726432,ZONE,stft WARN → GOOD (NORMAL)
1786800731939,GEAR,Estimated gear 4 → 5
1786800732741,GEAR,Estimated gear 5 → 4
1786800737807,GEAR,Estimated gear 4 → 3
1786800738907,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800740102,ZONE,stft WARN → GOOD (NORMAL)
1786800741293,GEAR,Estimated gear 3 → 4
1786800741293,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800743442,ZONE,stft WARN → GOOD (NORMAL)
1786800745523,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800746628,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800746628,ZONE,stft WARN → GOOD (NORMAL)
1786800747671,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800748797,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800750844,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800751897,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1786800751897,ZONE,stft WARN → GOOD (NORMAL)
1786800752913,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800753771,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1786800754644,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800756392,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800757179,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800758271,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800760571,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800763735,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800763735,ZONE,stft WARN → GOOD (NORMAL)
1786800767396,FUEL,Fuel system OPEN (DRIVE) → CLOSED LOOP
1786800768667,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800770029,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800770029,ZONE,stft WARN → GOOD (NORMAL)
1786800771306,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800772487,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800774647,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800781524,ZONE,stft WARN → GOOD (NORMAL)
1786800783749,GEAR,Estimated gear 4 → 5
1786800783750,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800786994,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800788108,GEAR,Estimated gear 5 → 4
1786800788108,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800789464,GEAR,Estimated gear 4 → 5
1786800790486,GEAR,Estimated gear 5 → 4
1786800791567,GEAR,Estimated gear 4 → 3
1786800794583,GEAR,Estimated gear 3 → 4
1786800795571,GEAR,Estimated gear 4 → 5
1786800795571,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800798564,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800799532,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800801830,GEAR,Estimated gear 5 → 4
1786800804047,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800807615,GEAR,Estimated gear 4 → 3
1786800809676,GEAR,Estimated gear 3 → 4
1786800809676,CHARGE,Charging problem ended
1786800810693,GEAR,Estimated gear 4 → 3
1786800811493,GEAR,Estimated gear 3 → 2
1786800814193,CHARGE,Charging problem began (ALT WEAK)
1786800814882,GEAR,Estimated gear 2 → 1
1786800816404,GEAR,Estimated gear 1 → 2
1786800821566,GEAR,Estimated gear 2 → 3
1786800821566,ZONE,stft WARN → GOOD (NORMAL)
1786800823673,GEAR,Estimated gear 3 → 2
1786800824862,GEAR,Estimated gear 2 → 3
1786800827227,GEAR,Estimated gear 3 → 4
1786800828268,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800837782,GEAR,Estimated gear 4 → 5
1786800843173,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800844121,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800845731,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800851984,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1786800853563,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800854450,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800856531,ZONE,stft WARN → GOOD (NORMAL)
1786800857561,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800858643,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800864548,GEAR,Estimated gear 5 → 4
1786800865426,GEAR,Estimated gear 4 → 3
1786800866306,GEAR,Estimated gear 3 → 4
1786800875128,GEAR,Estimated gear 4 → 5
1786800877134,GEAR,Estimated gear 5 → 4
1786800877134,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800878246,GEAR,Estimated gear 4 → 5
1786800879130,ZONE,stft WARN → GOOD (NORMAL)
1786800890765,GEAR,Estimated gear 5 → 4
1786800892507,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800896736,FUEL,Fuel system CLOSED LOOP → OPEN LOOP
1786800899462,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800901427,GEAR,Estimated gear 4 → 3
1786800902988,CHARGE,Charging problem ended
1786800905374,GEAR,Estimated gear 3 → 2
1786800905374,CHARGE,Charging problem began (ALT WEAK)
1786800910652,ZONE,stft WARN → GOOD (NORMAL)
1786800914263,GEAR,Estimated gear 2 → 3
1786800914263,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800915383,GEAR,Estimated gear 3 → 4
1786800915383,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800916403,GEAR,Estimated gear 4 → 3
1786800916403,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800918484,GEAR,Estimated gear 3 → 2
1786800919527,GEAR,Estimated gear 2 → 3
1786800921692,GEAR,Estimated gear 3 → 2
1786800922708,GEAR,Estimated gear 2 → 4
1786800922708,ZONE,stft GOOD → ELEVATED (RICH)
1786800923974,GEAR,Estimated gear 4 → 3
1786800923974,ZONE,stft ELEVATED → GOOD (NORMAL)
1786800925627,GEAR,Estimated gear 3 → 4
1786800926272,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800927073,GEAR,Estimated gear 4 → 3
1786800927947,ZONE,stft WARN → GOOD (NORMAL)
1786800929005,GEAR,Estimated gear 3 → 4
1786800934414,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800935792,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800936974,ZONE,battery CRITICAL → WARN (LOW CHARGE)
1786800936974,CHARGE,Charging problem ended
1786800938081,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800938081,ZONE,battery WARN → GOOD (CHARGING OK)
1786800939208,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800941399,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800942430,ZONE,stft WARN → GOOD (NORMAL)
1786800943557,FUEL,Fuel system OPEN (DRIVE) → OPEN LOOP
1786800944472,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786800947007,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800948618,ZONE,stft WARN → GOOD (NORMAL)
1786800957895,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
