GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Barometric pressure (from vehicle)(psi),EGR Commanded(%),EGR Error(%),Engine Coolant Temperature(°C),Engine Load(%),Engine RPM(rpm),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Relative Throttle Position(%),Throttle Position(Manifold)(%),Timing Advance(°),Voltage (Control Module)(V)
Fri Jul 24 18:49:11 GMT+05:00 2026,24-Jul-2026 18:49:11.603,74.33263192,31.60926525,21.190000534057617,3.7900924682617188,172.693603515625,267.70001220703125,-0.15672988,8.89651489,6.34068108,0.1327582,38.82352829,14.06866059,0,0,87,83.52941132,1536,-,-3.125,-,-2.34375,39,13.05339642,12.60999966,-,0.63,15.68627453,23.13725471,20,11.97500038
Fri Jul 24 18:49:12 GMT+05:00 2026,24-Jul-2026 18:49:12.602,74.33240426,31.60926678,21.209999084472656,3.7900924682617188,172.77734375,268.8999938964844,-0.82821572,8.59711266,3.8545382,-0.01688188,38.82352829,14.06866059,0,0,87,83.52941132,1536,-,-3.125,-,-2.34375,39,13.05339642,12.60999966,-,0.63,15.68627453,23.13725471,20.5,12.05000019
Fri Jul 24 18:49:13 GMT+05:00 2026,24-Jul-2026 18:49:13.602,74.33217815,31.60927338,21.40999984741211,3.7900924682617188,172.54296875,271.79998779296875,-0.23330021,8.88215733,4.27836704,0.02426201,37.25490189,14.06866059,0,0,87,83.52941132,1556,-,-3.125,-,-2.34375,39,12.47324547,12.35999966,-,0.63,14.11764717,23.13725471,20.5,12.05000019
Fri Jul 24 18:49:14 GMT+05:00 2026,24-Jul-2026 18:49:14.602,74.33195227,31.60928281,21.5,3.7900924682617188,172.4510498046875,273.20001220703125,-0.2958127,8.89053249,4.52602386,0.03639847,37.25490189,14.06866059,0,0,87,83.52941132,1556,-,-3.125,-,-3.125,39,12.47324547,12.35999966,-,0.63,14.11764717,23.13725471,20.5,12.05000019
Fri Jul 24 18:49:15 GMT+05:00 2026,24-Jul-2026 18:49:15.602,74.33172384,31.60929019,21.6200008392334,3.7900924682617188,172.32843017578125,273.0,-0.10289137,9.20159912,4.55354166,0.06560224,37.25490189,14.06866059,0,0,87,83.52941132,1572,-,-3.125,-,-3.125,39,12.47324547,12.52999973,-,0.63,13.72549057,23.13725471,20.5,12.05000019
Fri Jul 24 18:49:16 GMT+05:00 2026,24-Jul-2026 18:49:16.601,74.33149843,31.60929911,21.709999084472656,3.7900924682617188,172.312255859375,272.5,-0.31016964,9.14895725,5.76969337,0.12203425,37.25490189,14.06866059,0,0,87,83.52941132,1572,-,-3.125,-,-3.125,39,12.47324547,12.52999973,-,0.63,13.72549057,21.56862831,21,12.05000019
Fri Jul 24 18:49:17 GMT+05:00 2026,24-Jul-2026 18:49:17.601,74.33126994,31.6093026,21.81999969482422,3.7900924682617188,172.19415283203125,273.0,0.71216387,9.9583292,5.88454914,0.2003389,37.25490189,14.06866059,0,0,87,83.52941132,1572,-,-3.125,-,-3.125,39,12.47324547,12.52999973,-,0.63,13.72549057,21.56862831,21.5,12.05000019
Fri Jul 24 18:49:18 GMT+05:00 2026,24-Jul-2026 18:49:18.603,74.33103884,31.60931192,21.93000030517578,3.7900924682617188,172.16748046875,274.70001220703125,-0.40229329,8.4020977,3.51924396,-0.05151659,36.86274338,14.06866059,0,0,87,83.52941132,1572,-,-3.125,-,-3.125,39,12.47324547,12.52999973,-,0.63,13.33333302,21.56862831,21.5,12.05000019
Fri Jul 24 18:49:19 GMT+05:00 2026,24-Jul-2026 18:49:19.602,74.33080672,31.60931663,21.989999771118164,3.7900924682617188,172.14984130859375,271.3999938964844,-0.51236314,7.9567337,4.31186628,-0.05699867,36.86274338,14.06866059,0,0,87,81.96078491,1599,-,-3.90625,-,-3.125,39,12.18316999,12.69999981,-,0.63,13.33333302,21.56862831,21.5,12.05000019
Fri Jul 24 18:49:20 GMT+05:00 2026,24-Jul-2026 18:49:20.602,74.33057251,31.60932303,22.190000534057617,3.7900924682617188,171.9400634765625,272.70001220703125,-0.22253251,8.94676399,3.99691105,0.01813352,36.86274338,14.06866059,0,0,87,81.96078491,1599,-,-3.90625,-,-3.125,39,12.18316999,12.69999981,-,0.63,13.33333302,20.3921566,21.5,12.10000038
Fri Jul 24 18:49:21 GMT+05:00 2026,24-Jul-2026 18:49:21.602,74.33034179,31.60932746,22.149999618530273,3.7900924682617188,172.2388916015625,271.6000061035156,0.84287179,8.7912302,4.8972106,0.04840428,36.86274338,14.06866059,0,0,88,36.07843018,1589,-,0,-,-3.125,39,3.48090571,3.25999999,-,0.63,3.13725495,20.3921566,21.5,12.10000038
Fri Jul 24 18:49:22 GMT+05:00 2026,24-Jul-2026 18:49:22.602,74.33011381,31.60933023,21.739999771118164,3.7900924682617188,172.14483642578125,272.0,0.09810573,7.20389175,3.95862603,-0.14302993,36.86274338,14.06866059,0,0,88,36.07843018,1589,-,0,-,0,39,3.48090571,3.25999999,-,0.06,7.05882359,20.3921566,21.5,12.125
Fri Jul 24 18:49:23 GMT+05:00 2026,24-Jul-2026 18:49:23.601,74.32988702,31.60933554,21.59000015258789,3.7900924682617188,172.07080078125,275.29998779296875,0.03708875,8.76012325,4.58105898,0.02671748,36.86274338,14.06866059,0,0,88,49.80392075,1551,-,-3.90625,-,0,39,5.36639631,7.40999985,-,0.06,7.05882359,20.3921566,21.5,12.125
Fri Jul 24 18:49:24 GMT+05:00 2026,24-Jul-2026 18:49:24.601,74.32966346,31.60933866,21.389999389648438,3.7900924682617188,172.2569580078125,270.8999938964844,-0.28983065,7.84068155,4.57507706,-0.05516011,36.86274338,14.06866059,0,0,88,49.80392075,1551,-,-3.90625,-,-12.5,39,5.36639631,7.40999985,-,0.85000002,14.11764717,18.03921509,21.5,12.125
Fri Jul 24 18:49:25 GMT+05:00 2026,24-Jul-2026 18:49:25.601,74.32943849,31.60934493,21.399999618530273,3.7900924682617188,172.0447998046875,269.5,-0.30179477,7.71386194,5.15443897,-0.03478169,36.86274338,14.06866059,0,0,88,80.78431702,1546,-,-2.34375,-,-12.5,39,5.36639631,12.44999981,-,0.85000002,14.11764717,18.03921509,21.5,12.125
Fri Jul 24 18:49:26 GMT+05:00 2026,24-Jul-2026 18:49:26.602,74.3292147,31.60935431,21.34000015258789,3.7900924682617188,172.2081298828125,272.29998779296875,-0.40109691,8.87737179,4.29750967,0.02522093,36.86274338,14.06866059,0,0,88,80.78431702,1546,-,-2.34375,-,-12.5,39,5.36639631,12.44999981,-,0.85000002,12.15686321,20.7843132,21,12.05000019
Fri Jul 24 18:49:27 GMT+05:00 2026,24-Jul-2026 18:49:27.601,74.32899043,31.60936104,21.469999313354492,3.7900924682617188,172.5753173828125,272.20001220703125,-0.3484548,8.98983479,4.89362144,0.06297451,36.47058868,14.06866059,0,0,88,77.2549057,1560,-,-2.34375,-,-12.5,39,12.03813225,12.44999981,-,0.85000002,12.15686321,20.7843132,21,12.05000019
Fri Jul 24 18:49:28 GMT+05:00 2026,24-Jul-2026 18:49:28.602,74.32876317,31.60936582,21.59000015258789,3.7900924682617188,172.6346435546875,272.6000061035156,0.40947178,9.13699341,4.79192638,0.07154304,36.47058868,14.06866059,0,0,88,77.2549057,1560,-,-2.34375,-,-2.34375,39,12.03813225,12.44999981,-,0.61500001,12.15686321,20.7843132,21,12.07499981
Fri Jul 24 18:49:29 GMT+05:00 2026,24-Jul-2026 18:49:29.602,74.32853303,31.60937012,21.690000534057617,3.7900924682617188,171.8873291015625,271.70001220703125,0.45134616,8.31954479,4.62891531,-0.00941133,36.47058868,14.06866059,0,0,88,79.60784149,1560,-,-2.34375,-,-2.34375,39,11.89309452,11.77999973,-,0.61500001,12.15686321,20.7843132,21,12.07499981
Fri Jul 24 18:49:30 GMT+05:00 2026,24-Jul-2026 18:49:30.602,74.3283049,31.60937889,21.93000030517578,3.7900924682617188,171.81500244140625,272.0,0.20219351,8.7349987,5.44187689,0.06828123,36.47058868,14.06866059,0,0,88,79.60784149,1560,-,-2.34375,-,-2.34375,39,11.89309452,11.77999973,-,0.63499999,16.07843208,21.96078491,21,12.07499981
Fri Jul 24 18:49:31 GMT+05:00 2026,24-Jul-2026 18:49:31.602,74.32807111,31.6093857,21.920000076293945,3.7900924682617188,171.88995361328125,272.1000061035156,-1.14077818,8.93719292,5.38085985,0.08874613,38.4313736,14.06866059,0,0,88,85.49019623,1560,-,-2.34375,-,-2.34375,39,12.90835868,11.77999973,-,0.63499999,16.07843208,21.96078491,21,12.07499981
Fri Jul 24 18:49:32 GMT+05:00 2026,24-Jul-2026 18:49:32.601,74.32784039,31.60939145,22.049999237060547,3.7900924682617188,172.12225341796875,270.8999938964844,0.18544376,8.0440712,5.22742033,-0.00289857,38.4313736,14.06866059,0,0,88,85.49019623,1560,-,-2.34375,-,-2.34375,39,12.90835868,11.77999973,-,0.62,16.07843208,23.13725471,21,12
Fri Jul 24 18:49:33 GMT+05:00 2026,24-Jul-2026 18:49:33.601,74.32760299,31.60939577,22.18000030517578,3.7900924682617188,171.51214599609375,270.6000061035156,0.98285192,9.02572727,6.33589506,0.14757115,38.4313736,14.06866059,0,0,88,85.09803772,1560,-,-2.34375,-,-2.34375,39,12.90835868,13.19999981,-,0.62,16.07843208,23.13725471,21,12
Fri Jul 24 18:49:34 GMT+05:00 2026,24-Jul-2026 18:49:34.602,74.32736811,31.60940316,22.31999969482422,3.7900924682617188,171.33441162109375,269.6000061035156,-0.67268229,8.63779068,6.14686251,0.10187322,38.4313736,14.06866059,0,0,88,85.09803772,1560,-,-2.34375,-,-2.34375,39,12.90835868,13.19999981,-,0.62,16.07843208,23.13725471,21,11.97500038
Fri Jul 24 18:49:35 GMT+05:00 2026,24-Jul-2026 18:49:35.602,74.32712811,31.60941113,22.440000534057617,3.7900924682617188,171.95074462890625,272.0,-0.38673997,7.06032228,4.91515684,-0.10317987,38.4313736,14.06866059,0,0,88,82.35294342,1630,-,-2.34375,-,-2.34375,39,12.76332094,13.27999973,-,0.62,15.68627453,23.13725471,21,11.97500038
Fri Jul 24 18:49:36 GMT+05:00 2026,24-Jul-2026 18:49:36.602,74.32688948,31.60941607,22.56999969482422,3.7900924682617188,171.6275634765625,270.8999938964844,-0.2213361,7.31037235,3.62093878,-0.149095,38.4313736,14.06866059,0,0,88,82.35294342,1630,-,-2.34375,-,-2.34375,39,12.76332094,13.27999973,-,0.64499998,17.64705849,24.70588303,20.5,12.02499962
Fri Jul 24 18:49:37 GMT+05:00 2026,24-Jul-2026 18:49:37.602,74.32664855,31.60942167,22.65999984741211,3.7900924682617188,171.54150390625,271.1000061035156,0.33888352,7.96630478,5.71346235,0.01891893,39.2156868,14.06866059,0,0,88,84.70587921,1643,-,-2.34375,-,-2.34375,39,12.76332094,13.78999996,-,0.64499998,17.64705849,24.70588303,20.5,12.02499962
Fri Jul 24 18:49:38 GMT+05:00 2026,24-Jul-2026 18:49:38.602,74.32640516,31.60942737,22.719999313354492,3.7900924682617188,171.6077880859375,271.70001220703125,-0.22731815,7.43838835,5.29561567,-0.04993784,39.2156868,14.06866059,0,0,88,84.70587921,1643,-,-2.34375,-,-2.34375,39,12.76332094,13.78999996,-,0.61500001,17.64705849,24.70588303,20.5,12.10000038
Fri Jul 24 18:49:39 GMT+05:00 2026,24-Jul-2026 18:49:39.602,74.32616383,31.60943566,22.829999923706055,3.7900924682617188,171.7021484375,271.1000061035156,-0.3699902,7.78205729,5.48494768,-0.00975066,36.47058868,14.06866059,0,0,88,93.72548676,1654,-,-2.34375,-,-2.34375,39,12.76332094,15.15999985,-,0.61500001,11.76470566,24.70588303,20.5,12.10000038
Fri Jul 24 18:49:40 GMT+05:00 2026,24-Jul-2026 18:49:40.601,74.32592174,31.60944073,22.950000762939453,3.7900924682617188,171.665283203125,271.70001220703125,-0.14835501,8.33509827,2.5785656,-0.09148902,36.47058868,14.06866059,26.66666603,0,88,93.72548676,1654,-,-2.34375,-,-2.34375,39,12.76332094,15.15999985,-,0.61500001,12.15686321,20.7843132,20.5,12.07499981
Fri Jul 24 18:49:41 GMT+05:00 2026,24-Jul-2026 18:49:41.601,74.32567902,31.60944567,23.0,3.7900924682617188,171.69921875,276.70001220703125,-2.2791636,7.74377251,5.96979332,0.04243237,36.47058868,14.06866059,26.66666603,0,88,100,1679,-,-2.34375,-,-2.34375,39,10.58775487,15.15999985,-,0.61500001,12.15686321,20.7843132,20.5,12.07499981
Fri Jul 24 18:49:42 GMT+05:00 2026,24-Jul-2026 18:49:42.602,74.32543509,31.60945116,23.200000762939453,3.7900924682617188,171.59002685546875,274.6000061035156,-1.71774757,7.69113016,5.38803816,-0.0078634,36.47058868,14.06866059,26.66666603,0,88,100,1679,-,-2.34375,-,-2.34375,39,10.58775487,15.15999985,-,0.61500001,12.15686321,24.31372643,22,12.17500019
Fri Jul 24 18:49:43 GMT+05:00 2026,24-Jul-2026 18:49:43.602,74.32518812,31.60945595,23.43000030517578,3.7900924682617188,171.5523681640625,272.3999938964844,-2.449054,9.26411152,6.19232607,0.18200248,39.2156868,14.06866059,26.66666603,0,88,100,1704,-,-2.34375,-,-2.34375,39,12.47324547,18.06999969,-,0.61500001,17.64705849,24.31372643,21.5,12.17500019
Fri Jul 24 18:49:44 GMT+05:00 2026,24-Jul-2026 18:49:44.602,74.32493976,31.60946432,23.700000762939453,3.7900924682617188,171.55419921875,273.1000061035156,-1.78713942,8.36979485,4.26879549,-0.00607729,39.2156868,14.06866059,33.33333206,0,88,100,1704,-,-2.34375,-,-2.34375,39,12.47324547,18.06999969,-,0.61500001,17.64705849,24.70588303,21.5,12.05000019
Fri Jul 24 18:49:45 GMT+05:00 2026,24-Jul-2026 18:49:45.602,74.32468841,31.60947327,23.8799991607666,3.7900924682617188,171.39630126953125,278.70001220703125,0.82223368,8.15444088,7.25892639,0.13502401,39.2156868,14.06866059,33.33333206,0,88,100,1738,-,-2.34375,-,-2.34375,39,12.47324547,18.53000069,-,0.61500001,17.64705849,24.70588303,21.5,12.05000019
Fri Jul 24 18:49:46 GMT+05:00 2026,24-Jul-2026 18:49:46.602,74.32443494,31.60948156,24.049999237060547,3.7900924682617188,171.6732177734375,293.20001220703125,-0.16390835,7.71505833,6.34905577,0.0376516,39.2156868,14.06866059,33.33333206,-0.78125,88,100,1738,-,-2.34375,-,-2.34375,39,12.47324547,18.53000069,-,0.65499997,17.64705849,24.70588303,21.5,12.125
Fri Jul 24 18:49:47 GMT+05:00 2026,24-Jul-2026 18:49:47.601,74.32417948,31.60948731,24.329999923706055,3.7900924682617188,171.56719970703125,275.20001220703125,-0.21655045,8.48704243,5.18434954,0.03302401,39.2156868,14.06866059,33.33333206,-0.78125,88,100,1738,-,-2.34375,-,-2.34375,39,12.47324547,18.87000084,-,0.65499997,17.64705849,24.70588303,22,12.125
Fri Jul 24 18:49:48 GMT+05:00 2026,24-Jul-2026 18:49:48.602,74.32391947,31.609494,24.559999465942383,3.7900924682617188,171.654052734375,273.8999938964844,-0.6655038,7.65404129,4.52243471,-0.07221955,39.2156868,14.06866059,33.72549057,-0.78125,88,100,1738,-,-2.34375,-,-2.34375,39,12.47324547,18.87000084,-,0.65499997,17.64705849,24.31372643,22,12.14999962
Fri Jul 24 18:49:49 GMT+05:00 2026,24-Jul-2026 18:49:49.602,74.32365575,31.60950299,24.780000686645508,3.7900924682617188,171.6102294921875,272.1000061035156,-0.51116675,7.49342299,5.18913507,-0.05041254,39.2156868,14.06866059,33.72549057,-0.78125,88,100,1795,-,-2.34375,-,-2.34375,39,12.18316999,18.53000069,-,0.65499997,17.64705849,24.31372643,22.5,12.14999962
Fri Jul 24 18:49:50 GMT+05:00 2026,24-Jul-2026 18:49:50.602,74.32339349,31.60951092,24.969999313354492,3.7900924682617188,171.72314453125,272.0,0.06819545,7.95194769,5.74097967,0.01879662,39.60784149,14.06866059,34.11764526,-0.78125,88,100,1795,-,-2.34375,-,-2.34375,39,12.32820773,18.53000069,-,0.65499997,18.03921509,24.31372643,22.5,12.14999962
Fri Jul 24 18:49:51 GMT+05:00 2026,24-Jul-2026 18:49:51.602,74.32312931,31.60951674,25.100000381469727,3.7900924682617188,171.5919189453125,268.29998779296875,3.41515613,4.62054062,9.39691353,0.14176184,39.60784149,14.06866059,34.11764526,-0.78125,88,100,1795,-,-2.34375,-,-2.34375,39,12.32820773,19.55999947,-,0.65499997,18.03921509,24.31372643,22.5,12.14999962
Fri Jul 24 18:49:52 GMT+05:00 2026,24-Jul-2026 18:49:52.601,74.32286508,31.60952265,25.190000534057617,3.7900924682617188,171.2186279296875,271.6000061035156,-1.12402844,3.20099854,8.95154953,-0.00517112,39.60784149,14.06866059,34.11764526,5.46875,88,100,1795,-,-2.34375,-,-2.34375,39,9.42745297,13.61999989,-,0.65499997,10.98039246,24.31372643,22.5,12.14999962
Fri Jul 24 18:49:53 GMT+05:00 2026,24-Jul-2026 18:49:53.601,74.32260061,31.60952162,25.059999465942383,3.7900924682617188,171.13525390625,270.8999938964844,-0.76480591,3.26201558,8.57079124,-0.04293698,39.60784149,14.06866059,21.1764698,5.46875,88,100,1795,-,-3.90625,-,-3.125,39,9.42745297,13.61999989,-,0.64999998,10.98039246,19.6078434,29,12.14999962
